date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:26:55	13656/13656	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:54%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/index.html	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/index.html	(from )
14:26:57	358/358	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2028%20May%202021%2012:37:54%20GMT	https://kalanidhithemes.com/robots.txt		(from )
14:26:58	3341/3341	---M--	200	added ('OK')	image/png	date:Sat,%2026%20Nov%202022%2015:51:49%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/images/logo.png	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/images/logo.png	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:00	121260/121260	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/bootstrap.min.css	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/css/bootstrap.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:01	1767/1767	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/icomoon.min.css	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/css/icomoon.min.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:04	2777/2777	---M--	200	added ('OK')	text/css	date:Sat,%2026%20Nov%202022%2015:51:34%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/css/google-fonts.css	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:05	92846/92846	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:57%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Defoult/index.html	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Defoult/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:06	94456/94456	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2003:19:57%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Video-Hero-Center-Header/index.html	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Video-Hero-Center-Header/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:07	70631/70631	---M-Z	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:58%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Different-Design-With-Center-Header/index.html	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Different-Design-With-Center-Header/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
14:27:09	92978/92978	---MCZ	200	added ('OK')	text/html	date:Sat,%2026%20Nov%202022%2015:47:55%20GMT	https://kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Center-Header/index.html	C:/Users/UASER/Documents/GitHub/resturant/resturant/kalanidhithemes.com/live-preview/landing-page/delici/all-demo/Delici-Center-Header/index.html	(from https://kalanidhithemes.com/live-preview/landing-page/delici/index.html)
